                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.79756,                0.46038,                 1.2007,                0.98174,                0.98024,                0.99154,                0.77537,                0.79977,                0.37233,                 1.1113,              0.0006881,              0.0006881,              0.0006881
                    111,                0.77881,                0.44555,                 1.1918,                0.98216,                0.98221,                0.99055,                0.78013,                0.79932,                0.36653,                 1.1125,             0.00067595,             0.00067595,             0.00067595
                    112,                0.77984,                0.45324,                  1.188,                0.97277,                0.97628,                0.98658,                0.77268,                0.79818,                0.38562,                 1.1122,              0.0006638,              0.0006638,              0.0006638
                    113,                0.78399,                0.44995,                 1.1917,                0.97279,                0.97826,                0.99037,                0.77853,                0.80143,                0.37605,                 1.1095,             0.00065166,             0.00065166,             0.00065166
                    114,                0.79451,                0.45323,                 1.1987,                0.97625,                0.97497,                0.98541,                0.77894,                0.79822,                0.36693,                 1.1028,             0.00063951,             0.00063951,             0.00063951
                    115,                 0.7849,                0.45509,                 1.1956,                0.98172,                0.97826,                 0.9897,                0.78422,                0.78831,                0.36518,                 1.0933,             0.00062736,             0.00062736,             0.00062736
                    116,                0.78075,                0.46326,                 1.1875,                0.97663,                0.98221,                0.99081,                0.78582,                0.79432,                0.36524,                  1.098,             0.00061521,             0.00061521,             0.00061521
                    117,                0.76876,                0.44818,                 1.1801,                0.97632,                0.97785,                0.98484,                0.77781,                0.80081,                0.37504,                 1.1064,             0.00060307,             0.00060307,             0.00060307
                    118,                0.75934,                 0.4376,                 1.1822,                0.97426,                0.98024,                0.99131,                0.78519,                0.79437,                0.36025,                 1.1119,             0.00059092,             0.00059092,             0.00059092
                    119,                0.76658,                0.44542,                 1.1793,                0.96877,                 0.9808,                0.99149,                0.78649,                0.79258,                0.35753,                 1.1066,             0.00057877,             0.00057877,             0.00057877
                    120,                0.78313,                0.45792,                 1.1897,                0.98012,                 0.9741,                0.99131,                 0.7878,                 0.7996,                0.36515,                 1.1068,             0.00056663,             0.00056663,             0.00056663
                    121,                0.77364,                0.43833,                 1.1773,                0.97439,                0.97751,                0.99122,                0.78928,                0.78562,                0.37096,                  1.095,             0.00055448,             0.00055448,             0.00055448
                    122,                0.75959,                 0.4293,                 1.1825,                0.97986,                0.98221,                0.99108,                0.78333,                0.78323,                0.37043,                 1.0992,             0.00054233,             0.00054233,             0.00054233
                    123,                0.76508,                0.43575,                  1.168,                0.97437,                0.97666,                0.99202,                0.78491,                0.78792,                0.34639,                 1.0931,             0.00053018,             0.00053018,             0.00053018
                    124,                0.77903,                0.44038,                 1.1788,                0.97535,                0.97826,                0.99119,                0.78309,                0.78657,                0.36244,                 1.0981,             0.00051804,             0.00051804,             0.00051804
                    125,                0.74021,                0.42713,                 1.1692,                0.96971,                0.97431,                0.98661,                0.78216,                0.79808,                0.36166,                 1.1061,             0.00050589,             0.00050589,             0.00050589
                    126,                 0.7641,                0.43609,                  1.172,                 0.9802,                0.97841,                0.99174,                0.78693,                0.78785,                0.35501,                 1.0944,             0.00049374,             0.00049374,             0.00049374
                    127,                0.76092,                0.42011,                 1.1742,                0.98484,                0.98024,                0.99254,                0.78853,                0.79017,                 0.3608,                 1.1035,              0.0004816,              0.0004816,              0.0004816
                    128,                0.75452,                0.42697,                 1.1753,                0.97756,                0.98419,                0.99187,                0.78482,                0.77468,                0.35417,                 1.0893,             0.00046945,             0.00046945,             0.00046945
                    129,                0.75963,                0.42444,                 1.1677,                0.98608,                0.97975,                0.99231,                0.78855,                0.78244,                0.34471,                 1.0962,              0.0004573,              0.0004573,              0.0004573
                    130,                0.73978,                0.41599,                 1.1625,                0.97977,                0.98024,                0.99183,                 0.7838,                0.78713,                0.35142,                  1.097,             0.00044515,             0.00044515,             0.00044515
                    131,                0.75215,                0.42798,                  1.174,                0.97923,                0.98221,                0.99187,                0.77994,                0.79249,                0.35995,                 1.1061,             0.00043301,             0.00043301,             0.00043301
                    132,                0.73026,                0.41602,                 1.1501,                0.97778,                0.98419,                0.99248,                0.78163,                0.78465,                0.35272,                 1.0949,             0.00042086,             0.00042086,             0.00042086
                    133,                0.74423,                0.41479,                 1.1678,                0.98341,                0.98024,                0.98846,                0.78597,                0.79353,                0.33535,                 1.1032,             0.00040871,             0.00040871,             0.00040871
                    134,                0.73559,                0.41209,                 1.1628,                0.98081,                0.97826,                0.98992,                0.78219,                0.79711,                0.33073,                 1.1043,             0.00039656,             0.00039656,             0.00039656
                    135,                0.72061,                0.40856,                 1.1479,                0.97817,                0.98024,                0.99134,                0.78264,                0.79794,                0.34893,                 1.1059,             0.00038442,             0.00038442,             0.00038442
